layer,token_pos,token_offset,feature_dim,mean_test_accuracy,std_test_accuracy,mean_test_f1,std_test_f1,mean_test_auroc,std_test_auroc
9,1,-7,896,0.5878451285306252,0.022447301902277905,0.6951800765744812,0.01828221821823806,0.5464845355835738,0.04652119149797167
21,2,-6,896,0.5834761451391093,0.040915013366233495,0.6883839359699401,0.028258085516846183,0.5449260330232168,0.05477461635788362
1,5,-3,896,0.5834020945731514,0.03513220272956515,0.6853488712691953,0.03431069215538839,0.5442930156934118,0.04449360484422559
2,4,-4,896,0.5907542579075427,0.03073952126016003,0.6946197760770209,0.03621292224024055,0.544158125491417,0.017384115061861577
20,2,-6,896,0.5820480270813498,0.03171241766047712,0.6915851573869962,0.023640903103787657,0.5438425335560424,0.04856918684533504
17,2,-6,896,0.5805564371099121,0.037551727292285196,0.6873257257618354,0.029020483566993865,0.5389738516310053,0.05802196227244304
0,4,-4,896,0.5761874537183963,0.030029244416729238,0.6779324312456413,0.02758664687937592,0.5377044618660471,0.04725487274747327
0,5,-3,896,0.606653972283931,0.02905882033959446,0.7117324655548402,0.023409765472468116,0.5371325348930956,0.033803789528405175
3,0,-8,896,0.5761557177615572,0.02350826468916499,0.677406735243604,0.020267235971275582,0.535696562276742,0.04424709959189624
2,5,-3,896,0.5732360097323601,0.04671895755132717,0.6786762899532733,0.04196789109904225,0.5349421874189286,0.05918130481184914
1,0,-8,896,0.5616735427906484,0.022890502281980415,0.669232803006669,0.021578486813134966,0.5333065673256143,0.018308452979551894
5,3,-5,896,0.5689516555590818,0.03522633391406768,0.6810181867247085,0.02479451335521993,0.5325767882586778,0.059783240554068855
3,3,-5,896,0.5849254205014282,0.038503091506993645,0.6895836082455492,0.036146352635069726,0.5261864849870884,0.05062153178046142
6,2,-6,896,0.5689516555590817,0.02635888543377832,0.6774683290640737,0.019265118283815733,0.5227898960690638,0.056174337477664905
1,4,-4,896,0.5661165767481223,0.04502025099102516,0.6718926080789757,0.04365224656096638,0.5191011385905464,0.04753839696806281
4,2,-6,896,0.5689410769068022,0.029166796609415773,0.6746568067550236,0.022150925265179658,0.518642150200957,0.04155213794871781
6,3,-5,896,0.5414048450227441,0.0575465304976369,0.6551035379987024,0.05142347991852882,0.5122244448236087,0.07226845758377949
5,2,-6,896,0.5515180366021368,0.01808544288748574,0.6706572402717952,0.01491064443819039,0.5007069917900946,0.03973925282339064
3,2,-6,896,0.5355442716597907,0.03354203557482075,0.6519471201824143,0.02797555853751321,0.49844066178143365,0.034244796620469274
1,2,-6,896,0.5399449910081456,0.018439243353235792,0.6510149394271385,0.027463972887868858,0.4975745332287638,0.02361416485196634
0,0,-8,896,0.5385591875595048,0.04869181390595433,0.6441800195766856,0.044930825353513386,0.49565402852113943,0.03214114596349825
2,2,-6,896,0.5573468740082513,0.03311613937384938,0.6650084951010207,0.027168502544812755,0.4882567446348249,0.054236407730914836
1,3,-5,896,0.5501216545012164,0.044194332708676204,0.6673345896006362,0.03958070339929373,0.46104076615140227,0.04214911975347865
2,3,-5,896,0.5268591981381572,0.03457872276945542,0.6434455439374498,0.03292965982236235,0.45360536627273496,0.025656036273922878
0,3,-5,896,0.52253252935576,0.046684264907911076,0.633852955933391,0.04750212551095665,0.4533625264916125,0.05911548069786168
